X,Y,Location,Road,Area,City,District,Province,UID
74.3204,31.4743,Beacon House School Link Road Model Town,Model Town Link Road,Model Town,Lahore City,District Lahore,Punjab,{5F28AE62-4455-478F-8E35-DF0138622035}
74.3204,31.5198,Aab Para Markt,Wahdat Road,Ichhra,Lahore City,District Lahore,Punjab,{6004CF89-9C41-4FAA-A423-663C8E7C768D}
74.3204,31.5447,Suzuki Olympia Motors,Jail Road,,Lahore City,District Lahore,Punjab,{597EF7B5-E875-4222-965E-B0AF6137C38F}
74.3204,32.3929,Mafo Kamman,,,Tehsil Daskah,District Sialkot,Punjab,{DC869037-B2C8-452E-9D03-870E858BBD48}
74.3206,31.5546,Ganga Ram hospital,,,Lahore City,District Lahore,Punjab,{F340F268-D2B2-4832-A516-119B3C8A3855}
74.3207,31.484,Govt Girls High School Model Town,,Model Town,Lahore City,District Lahore,Punjab,{67C06B5D-B3E9-4F33-BA06-72A506BF3286}
74.3207,31.5616,Ensari,Shahrah-i-Quaid-i-Azam,,Lahore City,District Lahore,Punjab,{2095D89B-74FD-446F-8D13-12894B467196}
74.3208,31.5438,Khaleej Tower,Jail Road,,Lahore City,District Lahore,Punjab,{73D2237E-780A-4B31-997E-262CA3CE8022}
74.3208,31.5753,Amir Market Chambar Lane Road,,Gwalmandi,Lahore City,District Lahore,Punjab,{36A9CCFF-6D1F-487A-9E46-400D8F53BC3F}
74.3209,31.5325,Bandara Centre Ichhra,,Ichhra,Lahore City,District Lahore,Punjab,{1BC91B28-E604-4DD8-B3CB-533CF7B42F0F}
74.3209,31.5613,Sadiq Palaza,Shahrah-i-Quaid-i-Azam,,Lahore City,District Lahore,Punjab,{EEBD7D2A-F59E-49A6-8124-9214F3E29DF7}
74.3209,31.5614,Panorama Centre,Shahrah-i-Quaid-i-Azam,,Lahore City,District Lahore,Punjab,{8CDBC2AD-8AC8-46E1-BB51-5C5CAAE7D90A}
74.321,31.5011,Barkat Market,Allama Shabir Ahmad Usmani Road,,Lahore City,District Lahore,Punjab,{9D204F01-E723-4429-AB4C-FAC111DAC7B4}
74.321,31.5734,Dehli Central Dawakhana Railway Road,Railway Road,Gwalmandi,Lahore City,District Lahore,Punjab,{186BB99A-D683-4266-A67A-885281F9E5AD}
74.321,31.5758,Chowk Chambar Lane and Circular Road,Circular Road,,Lahore City,District Lahore,Punjab,{D0779586-D3B0-430D-8A4C-520ED46547EC}
74.321,32.3088,Ranjhal,,,Tehsil Daskah,District Sialkot,Punjab,{C8C86FA4-F9B5-43A7-9105-86E31150ACA6}
74.3211,31.526,Hamid Medical Store (Fazle Elahi Road Rehmanpura Ichhra),,Ichhra,Lahore City,District Lahore,Punjab,{45442B02-CCE0-49B5-B6EC-29D5E68B6B1C}
74.3211,31.5326,Ichhra Stop,Ferozepur Road,Ichhra,Lahore City,District Lahore,Punjab,{C9A70FA2-A3EF-4377-9EB8-61DBE3C1B7CF}
74.3211,31.5553,Chowk Ganga Ram,,,Lahore City,District Lahore,Punjab,{42A1DB0C-9C52-48FB-BC97-E76D5DC4FBFD}
74.3212,31.457,Jamia Masjid GECHS,,Township,Lahore City,District Lahore,Punjab,{094734D5-8F59-4014-9078-89130B6093DB}
74.3212,31.5615,Panorama Centre,Shahrah-i-Quaid-i-Azam,,Lahore City,District Lahore,Punjab,{58E9BB0B-9F43-49DC-BA41-BE43A04813B7}
74.3212,31.5877,Kashmiri Gate,Circular Road,,Lahore City,District Lahore,Punjab,{8F5C247E-771B-435F-82A4-29A9CBC07855}
74.3213,31.4827,Govt Model Town Hospital,,Model Town,Lahore City,District Lahore,Punjab,{2514B8D5-5C8D-4D9C-8966-8F2C52C61420}
74.3213,31.5664,Mcload Road Chowk,,,Lahore City,District Lahore,Punjab,{4B4524FF-AA6C-46F8-9046-C44424EB124A}
74.3214,31.4622,Habib Homes Society Gate,Peco Road,,Lahore City,District Lahore,Punjab,{D7A14D4C-5AD9-42C6-BB0E-C185809FAAFD}
74.3214,31.569,Bakhtiar Labour Hall Nisbat Road,,,Lahore City,District Lahore,Punjab,{C1269DAC-51DD-4E3D-87ED-3438BD57FE93}
74.3215,31.4577,Govt Employees Corporation Housing Society Office,,Township,Lahore City,District Lahore,Punjab,{6F21A1B6-C7E9-44B6-BA95-15B55E847CCE}
74.3215,31.5736,Dawakhana Hakim Ajmal Khan Railway Road,Railway Road,Gwalmandi,Lahore City,District Lahore,Punjab,{85A08CCB-B6F0-4453-9747-69CFCE44F5DE}
74.3216,31.4534,Zeshan Bakers,,Township,Lahore City,District Lahore,Punjab,{D2D855C7-AD8F-4D1F-AB4E-57BA54E3484D}
74.3216,31.5436,Eden Centre,Jail Road,,Lahore City,District Lahore,Punjab,{D35B1342-779D-4790-8533-A7EFAA10CDCF}
74.3217,31.4767,Quaid-e-Azam Law College,Model Town Link Road,Model Town,Lahore City,District Lahore,Punjab,{4C9DA1C2-B1AE-47D6-811C-AF8CCE91FD1B}
74.3217,31.5762," Near Mochi Gate & Police Station Rang Mahl",Circular Road,,Lahore City,District Lahore,Punjab,{0A066DA9-9F40-4512-BF91-4B69A84D910C}
74.3218,31.5254,Hassan Auto Workshop  (Fazle Elahi Road Rehmanpura Ichhra),,Ichhra,Lahore City,District Lahore,Punjab,{C2174450-D56D-4659-839C-6E3FA30930A6}
74.3218,31.53,Chowk Shah Jamal,Ferozepur Road,Ichhra,Lahore City,District Lahore,Punjab,{BBD8E560-324B-40E9-800A-053C8AABB460}
74.3218,31.5661,Madni Muhammadi Nihari,,,Lahore City,District Lahore,Punjab,{3A549F3B-8EC7-4259-A7B5-F8E89CD13008}
74.3219,31.4499,Sulehri Chemicals,,Township,Lahore City,District Lahore,Punjab,{576C4FD3-E6F1-4C07-B311-44AAAA19779B}
74.3219,31.4815,Govt. Model Town Library,,Model Town,Lahore City,District Lahore,Punjab,{B0F20199-299A-42E4-9868-9F6F5CD55951}
