X,Y,Location,Road,Area,City,District,Province
61.804359,25.070173,Jiwani Airport,,Jiwani Tehsil,",",",",Belutschistan
62.2798,25.2784,Zero Point,,,Gawadar City,,Baluchistan
62.3179,25.1216,Gwadar Westren Beach,,,Gawadar City,,Baluchistan
62.3212,25.1365,Marvi Hospital,,,Gawadar City,,Baluchistan
62.322,25.2225,New World City,,,Gawadar City,,Baluchistan
62.3229,25.1108,Gawadar Cricket Ground,,,Gawadar City,,Baluchistan
62.3236,25.1194,Mosque in Gwadar,,,Gawadar City,,Baluchistan
62.3241,25.2067,Jinnah Avenue,,,Gawadar City,,Baluchistan
62.3246,25.115,Gwadar Port Beam,,,Gawadar City,,Baluchistan
62.3249,25.104,Gwadar Sea Port,,,Gawadar City,,Baluchistan
62.3253,25.1035,Hotel Marjjan,,,Gawadar City,,Baluchistan
62.3254,25.1133,Football Playground,,,Gawadar City,,Baluchistan
62.3286,25.1084,Pindok Ammal's Garden,,,Gawadar City,,Baluchistan
62.3288,25.1032,Pearl Continental Hotel Gwadar,,,Gawadar City,,Baluchistan
62.329444,25.233056,Gwadar International Airport,",",",",",",",",Balochistan 
62.33,25.1565,Airport Road Gwadar,,,Gawadar City,,Baluchistan
62.3311,25.2312,Gwadar International Airport,,,Gawadar City,,Baluchistan
62.3326,25.1138,Gwadar Fish Harbour,,,Gawadar City,,Baluchistan
62.3334,25.108,Mull Band,,,Gawadar City,,Baluchistan
62.342,25.1107,Gawadar Port,,,Gawadar City,,Baluchistan
62.3421,25.2105,Hassan Al Balushi  town,,,Gawadar City,,Baluchistan
62.352,25.2189,Makran Costal Highway,,,Gawadar City,,Baluchistan
62.926,27.9636,Qila Ladgasht,,,,,Baluchistan
63.016,26.0003,Wared Telecom Tower,,,Turbat City,,Baluchistan
63.0175,26.0006,Govt.Boys High School Shahi Tump,,,Turbat City,,Baluchistan
63.0202,26.0001,Kacha Mosque,,,Turbat City,,Baluchistan
63.0216,25.9922,kech grammer high school turbat,,,Turbat City,,Baluchistan
63.0248,26.0004,Al-Shifa Clinic,,,Turbat City,,Baluchistan
63.0278,25.9888,Turbat Airport,,,Turbat City,,Baluchistan
63.029522,25.987272,Turbat International Airport,",",",",Turbat,",",Belutschistan
